Interval,Open,High,Low,Close
2024-01-10 09:30,89.75,207.80,86.75,202.00
2024-01-10 09:45,247.55,252.90,158.05,190.40
2024-01-10 11:05,206.55,210.55,173.95,190.90
2024-01-10 11:45,249.70,265.00,230.00,244.20
2024-01-10 12:40,232.25,235.05,186.90,189.45
2024-01-10 12:45,189.45,233.30,104.20,178.00
2024-01-10 13:10,170.75,206.80,165.25,196.20
2024-01-10 09:50,190.40,236.55,179.70,217.95
2024-01-10 10:40,269.00,271.70,222.30,226.05
2024-01-10 10:50,209.30,221.65,191.05,202.80
2024-01-10 13:45,192.60,194.85,157.60,170.45
2024-01-10 10:05,208.10,233.55,186.45,213.15
2024-01-10 10:45,226.75,239.80,192.05,209.30
2024-01-10 13:25,187.65,201.55,179.00,193.05
2024-01-10 12:10,203.15,222.70,195.85,209.30
2024-01-10 13:05,163.65,193.20,159.85,170.75
2024-01-10 09:25,123.25,125.90,89.30,89.75
2024-01-10 11:00,196.60,223.20,181.80,206.55
2024-01-10 11:35,206.75,261.50,204.25,255.40
2024-01-10 12:35,233.05,241.75,220.00,232.25
2024-01-10 11:20,224.10,240.75,220.75,235.15
2024-01-10 11:25,235.15,257.50,220.50,228.50
2024-01-10 12:30,215.20,245.75,203.70,233.00
2024-01-10 10:00,231.10,231.50,203.30,208.10
2024-01-10 10:30,241.90,284.20,238.10,266.65
2024-01-10 10:25,237.55,248.00,208.20,241.90
2024-01-10 12:05,216.40,219.25,174.40,203.15
2024-01-10 12:25,198.70,219.25,193.45,215.20
2024-01-10 12:55,170.55,173.00,153.85,164.10
2024-01-10 10:10,213.15,273.70,209.10,260.10
2024-01-10 13:15,196.20,213.00,170.80,187.90
2024-01-10 11:50,244.20,259.20,230.55,242.50
2024-01-10 09:55,217.95,243.35,182.75,231.10
2024-01-10 11:15,227.55,248.00,211.05,224.10
2024-01-10 13:30,191.90,214.60,176.00,179.40
2024-01-10 13:00,164.55,174.90,154.60,163.65
2024-01-10 13:40,176.05,194.05,156.30,192.60
2024-01-10 10:15,260.10,320.00,250.95,298.30
2024-01-10 12:00,239.70,248.45,215.50,216.40
2024-01-10 12:15,210.00,212.55,193.85,199.75
2024-01-10 12:50,175.90,180.20,149.95,170.55
2024-01-10 09:20,131.15,137.30,114.05,123.25
2024-01-10 09:40,187.15,247.55,173.55,247.55
2024-01-10 11:40,254.45,291.60,246.65,249.70
2024-01-10 10:55,202.65,222.60,182.05,196.60
2024-01-10 12:20,199.75,212.85,187.10,198.70
2024-01-10 13:35,179.40,187.85,165.80,176.05
2024-01-10 11:55,242.50,250.10,226.85,240.45
2024-01-10 13:20,187.90,194.70,168.00,187.65
2024-01-10 11:10,190.90,234.25,181.55,227.55
2024-01-10 09:35,202.00,221.25,139.30,187.15
2024-01-10 11:30,229.70,238.55,206.75,206.75
2024-01-10 10:35,266.65,277.75,253.70,269.00
2024-01-10 09:15,148.00,158.90,115.45,131.15
2024-01-10 10:20,298.30,307.00,231.40,237.55
