Interval,Open,High,Low,Close
2024-01-10 13:35,14.70,16.80,12.55,14.65
2024-01-10 11:50,43.45,49.20,38.45,42.10
2024-01-10 12:15,27.65,28.85,24.10,25.35
2024-01-10 12:55,16.20,17.15,12.90,15.05
2024-01-10 11:30,38.65,42.80,31.65,32.20
2024-01-10 12:25,24.00,29.15,22.80,28.30
2024-01-10 12:40,33.20,34.40,19.80,20.55
2024-01-10 11:25,42.70,52.20,35.80,38.65
2024-01-10 11:40,48.25,70.00,45.40,47.40
2024-01-10 12:00,41.10,43.75,31.15,31.25
2024-01-10 13:00,15.05,16.90,13.65,14.85
2024-01-10 10:35,67.80,72.95,62.15,68.55
2024-01-10 13:20,18.70,19.85,14.45,17.90
2024-01-10 13:25,17.90,20.20,15.45,18.35
2024-01-10 09:15,38.15,45.10,32.85,37.00
2024-01-10 13:30,18.00,25.10,14.15,14.70
2024-01-10 12:50,17.25,17.85,13.35,16.20
2024-01-10 09:20,37.00,39.45,31.85,34.10
2024-01-10 09:25,34.10,35.40,22.85,23.00
2024-01-10 12:35,33.15,36.35,27.60,33.20
2024-01-10 12:05,31.25,32.60,20.70,27.65
2024-01-10 11:35,31.10,51.20,30.35,48.25
2024-01-10 09:35,67.10,77.45,43.45,60.80
2024-01-10 10:05,56.15,65.25,47.75,57.60
2024-01-10 10:40,68.55,69.50,47.80,49.35
2024-01-10 10:15,77.20,110.00,74.25,94.10
2024-01-10 13:10,16.00,24.55,14.70,21.00
2024-01-10 13:40,15.05,18.80,12.05,18.20
2024-01-10 12:20,25.35,28.40,22.40,24.00
2024-01-10 11:00,35.05,44.15,30.80,38.30
2024-01-10 11:15,42.85,48.65,35.20,39.10
2024-01-10 11:55,42.10,44.75,36.30,41.10
2024-01-10 12:30,28.30,37.30,24.50,33.60
2024-01-10 09:45,85.70,88.00,44.80,54.80
2024-01-10 10:20,94.10,96.95,57.25,60.70
2024-01-10 10:50,40.20,45.00,34.95,37.65
2024-01-10 11:20,39.10,45.00,37.80,42.70
2024-01-10 12:45,20.55,30.70,9.25,17.50
2024-01-10 13:05,15.00,21.45,14.00,16.00
2024-01-10 09:30,23.00,70.00,22.50,67.10
2024-01-10 10:45,49.35,54.20,35.35,40.20
2024-01-10 11:05,38.30,39.15,28.50,32.05
2024-01-10 09:40,60.80,86.40,52.85,85.70
2024-01-10 09:50,54.80,73.55,51.05,65.05
2024-01-10 10:55,37.65,44.55,31.10,35.05
2024-01-10 11:45,46.85,54.10,38.35,43.95
2024-01-10 09:55,65.05,74.00,50.25,68.35
2024-01-10 10:10,57.60,80.00,56.35,77.20
2024-01-10 10:25,60.70,62.25,47.00,57.10
2024-01-10 10:00,68.35,68.35,55.05,56.15
2024-01-10 11:10,32.05,45.05,29.65,42.70
2024-01-10 13:45,18.20,18.50,10.95,13.00
2024-01-10 10:30,57.10,77.00,55.90,67.80
2024-01-10 12:10,27.15,32.80,24.60,27.65
2024-01-10 13:15,20.95,25.75,15.30,18.70
