Interval,Open,High,Low,Close
2024-01-10 11:25,136.00,142.45,115.55,136.00
2024-01-10 13:15,151.15,176.20,135.65,155.90
2024-01-10 13:45,146.50,188.00,144.30,170.15
2024-01-10 10:35,134.35,143.40,126.80,132.25
2024-01-10 11:15,145.05,159.10,125.75,147.30
2024-01-10 12:35,122.75,132.55,116.00,124.60
2024-01-10 10:25,161.20,192.00,151.50,155.30
2024-01-10 10:55,177.95,201.70,160.60,184.20
2024-01-10 12:25,160.30,165.00,137.85,141.45
2024-01-10 13:00,188.55,199.00,173.70,188.25
2024-01-10 13:05,188.25,192.65,154.00,177.40
2024-01-10 13:25,157.30,166.45,143.20,150.35
2024-01-10 13:30,151.30,166.95,130.45,163.15
2024-01-10 09:45,192.55,273.00,188.60,228.85
2024-01-10 12:15,147.00,165.40,146.00,159.60
2024-01-10 12:55,181.65,202.15,179.15,188.55
2024-01-10 12:50,175.00,211.10,171.55,181.65
2024-01-10 10:20,126.65,169.75,121.10,161.20
2024-01-10 10:30,155.30,157.65,123.25,134.35
2024-01-10 10:45,165.70,195.35,152.70,176.60
2024-01-10 13:10,177.40,184.50,141.10,151.15
2024-01-10 13:20,155.90,175.35,150.75,157.30
2024-01-10 13:35,163.15,181.85,153.90,167.20
2024-01-10 09:15,312.00,370.20,311.55,334.15
2024-01-10 09:30,401.00,413.00,239.10,240.10
2024-01-10 09:40,251.40,267.20,191.95,192.55
2024-01-10 11:20,147.30,150.50,131.25,136.00
2024-01-10 11:50,122.70,131.95,111.20,123.70
2024-01-10 10:50,176.60,192.30,162.00,177.95
2024-01-10 12:10,157.30,165.20,134.40,147.00
2024-01-10 12:40,124.60,167.90,122.30,164.85
2024-01-10 09:25,342.60,406.95,335.80,401.00
2024-01-10 10:05,200.75,219.75,176.15,192.50
2024-01-10 11:10,183.75,194.40,141.65,146.80
2024-01-10 11:45,121.45,134.95,110.10,122.70
2024-01-10 13:40,167.20,191.70,144.75,146.50
2024-01-10 09:35,240.10,311.95,222.10,251.40
2024-01-10 09:55,200.45,234.95,165.00,183.85
2024-01-10 10:00,183.85,206.40,181.90,200.75
2024-01-10 10:10,192.50,195.70,148.75,155.20
2024-01-10 11:05,170.05,203.50,166.35,184.15
2024-01-10 09:20,334.15,363.35,322.60,342.60
2024-01-10 11:00,184.20,197.10,154.60,170.05
2024-01-10 11:35,154.50,159.35,107.85,112.95
2024-01-10 12:05,143.45,188.70,140.80,157.30
2024-01-10 12:45,164.85,296.25,118.80,175.00
2024-01-10 11:40,112.95,123.70,93.20,121.45
2024-01-10 12:00,125.25,144.95,116.65,143.45
2024-01-10 10:15,155.20,161.05,116.50,126.65
2024-01-10 12:30,140.75,152.45,113.40,122.40
2024-01-10 11:55,123.70,137.35,117.65,125.25
2024-01-10 09:50,228.85,239.00,184.00,200.45
2024-01-10 10:40,132.25,170.45,129.70,165.70
2024-01-10 11:30,136.00,155.85,126.50,154.50
2024-01-10 12:20,159.60,173.20,144.85,160.30
