Interval,Open,High,Low,Close
2024-01-10 10:20,446.05,519.00,437.40,508.85
2024-01-10 12:45,546.40,689.50,491.20,559.65
2024-01-10 13:35,549.85,571.00,540.00,556.00
2024-01-10 11:50,483.80,499.65,466.95,487.00
2024-01-10 12:40,495.15,551.45,492.00,546.40
2024-01-10 10:00,526.70,562.00,526.20,549.00
2024-01-10 10:15,492.40,500.10,426.20,446.05
2024-01-10 13:30,535.55,554.00,508.95,549.85
2024-01-10 10:10,548.50,549.95,479.70,492.40
2024-01-10 13:45,529.15,579.20,529.15,555.45
2024-01-10 10:50,540.70,564.60,524.10,545.45
2024-01-10 10:55,545.45,573.75,523.30,554.75
2024-01-10 11:05,537.00,581.35,534.00,555.05
2024-01-10 11:45,478.60,500.40,462.60,483.80
2024-01-10 12:25,541.10,545.65,512.20,517.35
2024-01-10 09:45,525.00,636.85,519.95,585.70
2024-01-10 10:30,504.40,509.25,456.30,476.70
2024-01-10 11:00,554.75,572.70,518.20,537.00
2024-01-10 13:00,577.30,586.80,560.60,575.20
2024-01-10 13:40,556.00,582.30,529.15,529.15
2024-01-10 11:20,513.95,517.50,493.70,497.45
2024-01-10 11:40,472.25,483.00,436.80,478.60
2024-01-10 09:35,587.00,679.00,562.30,603.00
2024-01-10 11:30,502.00,533.10,492.55,533.10
2024-01-10 11:35,533.10,533.10,463.00,472.25
2024-01-10 12:20,538.80,555.55,520.60,541.10
2024-01-10 13:05,575.20,580.35,534.00,564.00
2024-01-10 13:10,564.00,572.05,519.85,533.80
2024-01-10 09:25,714.05,785.00,706.50,784.30
2024-01-10 09:50,585.70,596.00,525.25,542.55
2024-01-10 13:25,542.75,552.90,526.85,535.55
2024-01-10 09:20,701.50,738.00,689.15,714.05
2024-01-10 09:40,603.00,623.60,525.00,525.00
2024-01-10 12:30,517.35,531.55,480.05,492.85
2024-01-10 12:15,524.00,545.75,521.00,538.80
2024-01-10 09:15,650.00,741.85,637.00,701.50
2024-01-10 09:30,784.30,794.40,584.65,587.00
2024-01-10 10:45,523.75,564.65,507.65,540.70
2024-01-10 11:15,508.30,530.55,483.70,513.95
2024-01-10 09:55,542.55,593.20,503.05,526.70
2024-01-10 10:35,476.70,490.25,464.15,473.85
2024-01-10 10:40,473.85,530.00,469.55,523.75
2024-01-10 12:00,489.00,517.00,478.00,516.40
2024-01-10 12:55,568.25,590.70,564.70,577.30
2024-01-10 11:25,497.45,511.50,474.85,502.00
2024-01-10 11:55,487.00,506.75,477.95,489.00
2024-01-10 12:50,559.65,601.00,558.20,568.25
2024-01-10 11:10,555.05,569.35,504.20,508.30
2024-01-10 13:20,542.95,563.85,533.85,542.75
2024-01-10 13:15,533.80,564.30,513.00,542.95
2024-01-10 12:35,492.85,508.20,483.60,495.15
2024-01-10 12:10,536.30,542.50,505.95,524.00
2024-01-10 10:05,549.00,580.25,522.50,548.50
2024-01-10 10:25,508.85,549.75,498.45,504.40
2024-01-10 12:05,516.40,571.35,513.55,534.00
